block,item,n,value,unit,note
C1 intra-bar path,"sumret2 / sumret^2 over the 5 window bars, all replayed sessions",32888,2.2555223000122364,ratio (median),"sumret2 is the sum of the squared one-minute returns inside the bar, sumret^2 the square of the bar's net move; a bar whose 30 one-minute returns were all equal has ratio 1/30 = 0.0333, and the excess over that is path the 30-minute replay never sees"
C1 intra-bar path,"sumret2 / sumret^2 over the 5 window bars, all replayed sessions",32965,0.9748032946683338,ratio (pooled sums),the sum of sumret2 over the selected bars divided by the sum of sumret^2; immune to the near-zero denominators that make a per-bar mean meaningless
C1 intra-bar path,"the same ratio on each session's LARGEST window bar, all replayed sessions",6593,0.5377304826982708,ratio (median),the bar that drives the loss; a bar whose 30 one-minute returns were all equal has ratio 1/30 = 0.0333
C1 intra-bar path,"the same ratio on each session's LARGEST window bar, all replayed sessions",6593,0.4393256324090107,ratio (pooled sums),the bar that drives the loss
C1 intra-bar path,"sumret2 / sumret^2 over the 5 window bars, worst-1% sessions (66)",330,0.932939153083924,ratio (median),"sumret2 is the sum of the squared one-minute returns inside the bar, sumret^2 the square of the bar's net move; a bar whose 30 one-minute returns were all equal has ratio 1/30 = 0.0333, and the excess over that is path the 30-minute replay never sees"
C1 intra-bar path,"sumret2 / sumret^2 over the 5 window bars, worst-1% sessions (66)",330,0.682044836392256,ratio (pooled sums),the sum of sumret2 over the selected bars divided by the sum of sumret^2; immune to the near-zero denominators that make a per-bar mean meaningless
C1 intra-bar path,"the same ratio on each session's LARGEST window bar, worst-1% sessions (66)",66,0.32751829010979483,ratio (median),the bar that drives the loss; a bar whose 30 one-minute returns were all equal has ratio 1/30 = 0.0333
C1 intra-bar path,"the same ratio on each session's LARGEST window bar, worst-1% sessions (66)",66,0.37183101901732996,ratio (pooled sums),the bar that drives the loss
C1 intra-bar path,"sumret2 / sumret^2 over the 5 window bars, worst-10 sessions",50,1.1733945403603703,ratio (median),"sumret2 is the sum of the squared one-minute returns inside the bar, sumret^2 the square of the bar's net move; a bar whose 30 one-minute returns were all equal has ratio 1/30 = 0.0333, and the excess over that is path the 30-minute replay never sees"
C1 intra-bar path,"sumret2 / sumret^2 over the 5 window bars, worst-10 sessions",50,0.6497338732662783,ratio (pooled sums),the sum of sumret2 over the selected bars divided by the sum of sumret^2; immune to the near-zero denominators that make a per-bar mean meaningless
C1 intra-bar path,"the same ratio on each session's LARGEST window bar, worst-10 sessions",10,0.339230510621561,ratio (median),the bar that drives the loss; a bar whose 30 one-minute returns were all equal has ratio 1/30 = 0.0333
C1 intra-bar path,"the same ratio on each session's LARGEST window bar, worst-10 sessions",10,0.3211847082080688,ratio (pooled sums),the bar that drives the loss
C1 intra-bar path,window bars carrying fewer than 30 one-minute observations,32965,285.0,bars,a short bar hides proportionally more of its own path
C2 premium vs volatility,"decile 1 of the trailing 21-session realized variance, 2020-2024 overlap",87,0.17838398123328633,"actual 13:30 premium / spot, %",the replay holds it at 0.2890% (ratio 0.617); RV21 mean 1.981e-05
C2 premium vs volatility,"decile 2 of the trailing 21-session realized variance, 2020-2024 overlap",87,0.19213003154615374,"actual 13:30 premium / spot, %",the replay holds it at 0.2890% (ratio 0.665); RV21 mean 2.517e-05
C2 premium vs volatility,"decile 3 of the trailing 21-session realized variance, 2020-2024 overlap",86,0.2559769707716889,"actual 13:30 premium / spot, %",the replay holds it at 0.2890% (ratio 0.886); RV21 mean 3.073e-05
C2 premium vs volatility,"decile 4 of the trailing 21-session realized variance, 2020-2024 overlap",87,0.22773637501185534,"actual 13:30 premium / spot, %",the replay holds it at 0.2890% (ratio 0.788); RV21 mean 3.862e-05
C2 premium vs volatility,"decile 5 of the trailing 21-session realized variance, 2020-2024 overlap",86,0.28177739428455717,"actual 13:30 premium / spot, %",the replay holds it at 0.2890% (ratio 0.975); RV21 mean 5.059e-05
C2 premium vs volatility,"decile 6 of the trailing 21-session realized variance, 2020-2024 overlap",87,0.3677625151140839,"actual 13:30 premium / spot, %",the replay holds it at 0.2890% (ratio 1.273); RV21 mean 6.827e-05
C2 premium vs volatility,"decile 7 of the trailing 21-session realized variance, 2020-2024 overlap",86,0.40045540875800884,"actual 13:30 premium / spot, %",the replay holds it at 0.2890% (ratio 1.386); RV21 mean 8.675e-05
C2 premium vs volatility,"decile 8 of the trailing 21-session realized variance, 2020-2024 overlap",87,0.41532781485270376,"actual 13:30 premium / spot, %",the replay holds it at 0.2890% (ratio 1.437); RV21 mean 1.070e-04
C2 premium vs volatility,"decile 9 of the trailing 21-session realized variance, 2020-2024 overlap",86,0.5231547117840564,"actual 13:30 premium / spot, %",the replay holds it at 0.2890% (ratio 1.811); RV21 mean 1.498e-04
C2 premium vs volatility,"decile 10 of the trailing 21-session realized variance, 2020-2024 overlap",87,0.7542562998612531,"actual 13:30 premium / spot, %",the replay holds it at 0.2890% (ratio 2.610); RV21 mean 4.313e-04
C2 premium vs volatility,whole 2020-2024 overlap,866,0.3596700765523522,"actual 13:30 premium / spot, %",the replay holds it at 0.2890% (ratio 1.245)
C3 settlement print,"the panel's 16:00 bar, |log return|, replayed sessions",6593,0.21688598533551084,"mean |move|, %",the panel has no separate settlement print: the replay settles on the close of the 16:00 bar
C3 settlement print,"the panel's 16:00 bar, |log return|, replayed sessions",6593,1.4344211282129267,"99th percentile |move|, %",same
C3 settlement print,"the live book's own 15:30 spot -> settlement move, chain sessions",1279,0.20971303638473285,"mean |move|, %","proposal 43's settlement is the GSPC close; the replay's is the panel's 16:00 bar close, a different series"
